C02173V02619,Area of Residence,TLIST(Q1),Quarter,STATISTIC,Statistic Label,UNIT,VALUE
-,All Countries,20121,2012Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,1167
-,All Countries,20121,2012Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.8
-,All Countries,20121,2012Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,483
-,All Countries,20122,2012Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,1817
-,All Countries,20122,2012Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7
-,All Countries,20122,2012Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,816
-,All Countries,20123,2012Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,2095
-,All Countries,20123,2012Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.1
-,All Countries,20123,2012Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,994
-,All Countries,20124,2012Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,1438
-,All Countries,20124,2012Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.2
-,All Countries,20124,2012Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,622
-,All Countries,20131,2013Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,1252
-,All Countries,20131,2013Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.7
-,All Countries,20131,2013Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,541
-,All Countries,20132,2013Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,1893
-,All Countries,20132,2013Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7
-,All Countries,20132,2013Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,870
-,All Countries,20133,2013Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,2261
-,All Countries,20133,2013Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.2
-,All Countries,20133,2013Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,1186
-,All Countries,20134,2013Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,1580
-,All Countries,20134,2013Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.8
-,All Countries,20134,2013Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,665
-,All Countries,20141,2014Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,1343
-,All Countries,20141,2014Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.6
-,All Countries,20141,2014Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,534
-,All Countries,20142,2014Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,2127
-,All Countries,20142,2014Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.1
-,All Countries,20142,2014Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,1001
-,All Countries,20143,2014Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,2440
-,All Countries,20143,2014Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.1
-,All Countries,20143,2014Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,1303
-,All Countries,20144,2014Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,1695
-,All Countries,20144,2014Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.6
-,All Countries,20144,2014Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,711
-,All Countries,20151,2015Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,1531
-,All Countries,20151,2015Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.5
-,All Countries,20151,2015Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,590
-,All Countries,20152,2015Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,2345
-,All Countries,20152,2015Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7
-,All Countries,20152,2015Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,1194
-,All Countries,20153,2015Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,2771
-,All Countries,20153,2015Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.9
-,All Countries,20153,2015Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,1551
-,All Countries,20154,2015Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,1996
-,All Countries,20154,2015Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.4
-,All Countries,20154,2015Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,873
-,All Countries,20161,2016Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,1785
-,All Countries,20161,2016Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.5
-,All Countries,20161,2016Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,693
-,All Countries,20162,2016Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,2599
-,All Countries,20162,2016Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.7
-,All Countries,20162,2016Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,1261
-,All Countries,20163,2016Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,3062
-,All Countries,20163,2016Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.7
-,All Countries,20163,2016Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,1693
-,All Countries,20164,2016Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,2139
-,All Countries,20164,2016Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.4
-,All Countries,20164,2016Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,930
-,All Countries,20171,2017Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,1796
-,All Countries,20171,2017Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.2
-,All Countries,20171,2017Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,684
-,All Countries,20172,2017Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,2769
-,All Countries,20172,2017Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.6
-,All Countries,20172,2017Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,1408
-,All Countries,20173,2017Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,3096
-,All Countries,20173,2017Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.6
-,All Countries,20173,2017Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,1736
-,All Countries,20174,2017Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,2271
-,All Countries,20174,2017Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.9
-,All Countries,20174,2017Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,1046
-,All Countries,20181,2018Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,1921
-,All Countries,20181,2018Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.5
-,All Countries,20181,2018Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,795
-,All Countries,20182,2018Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,2952
-,All Countries,20182,2018Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.3
-,All Countries,20182,2018Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,1475
-,All Countries,20183,2018Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,3331
-,All Countries,20183,2018Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.4
